round,trial,ymaze,lobster,side-A,side-B,date,start-time,end-time,first-choice,final-choice,residency-A,residency-B,residency-Other,Total,Useable data
23,133,1,89B,structure,st/sc,23/03/2022,11:50,12:05,structure,NA,,,,0,1
23,134,2,87B,st/sc,scent,23/03/2022,11:51,12:06,st/sc,st/sc,,,,0,1
23,135,3,90B,blank,structure,23/03/2022,11:51,12:06,blank,structure,,,,0,1
23,136,4,88B,scent,blank,23/03/2022,11:52,12:07,scent,scent,,,,0,1
23,137,5,86B,blank,st/sc,23/03/2022,11:53,12:08,st/sc,st/sc,,,,0,1
23,138,6,96B,scent,structure,23/03/2022,11:53,12:08,structure,structure,,,,0,1
24,139,5,95B,structure,st/sc,23/03/2022,12:48,13:03,structure,structure,,,,0,1
24,140,6,94B,structure,st/sc,23/03/2022,12:49,13:04,st/sc,st/sc,,,,0,1
24,141,4,85B,blank,scent,23/03/2022,12:50,13:05,NA,NA,NA,NA,NA,#VALUE!,0
25,142,4,93B,blank,scent,23/03/2022,13:16,13:31,scent,blank,,,,0,1
