round,trial,ymaze,lobster,density-A,density-B,date,start-time,end-time,first-choice,final-choice,residency-A,residency-B,residency-Other,Total,Useable data
18,105,3,72A,2,5,26/02/2022,13:36,14:06,5,5,0,1787,13,1800,1
18,106,4,66A,5,11,26/02/2022,13:37,14:07,5,5,1588,0,212,1800,1
18,107,5,71A,32,0,26/02/2022,13:38,14:08,32,32,1536,0,264,1800,1
18,108,6,68A,0,1,26/02/2022,13:40,14:10,0,1,456,827,517,1800,1
19,109,1,38B,2,11,26/02/2022,14:43,15:13,11,2,875,615,310,1800,1
19,110,2,42B,5,32,26/02/2022,14:44,15:14,NA,NA,NA,NA,NA,#VALUE!,0
19,111,3,37B,2,1,26/02/2022,14:46,15:16,2,2,1734,0,66,1800,1
19,112,5,39B,1,32,26/02/2022,14:48,15:18,32,32,223,1022,555,1800,1
20,113,2,40B,5,32,26/02/2022,15:33,16:03,5,5,1684,0,116,1800,1
21,114,1,75A,2,1,18/04/2022,8:43,9:13,1,2,1529,169,102,1800,1
21,115,2,74A,1,5,18/04/2022,8:44,9:14,5,5,0,1360,440,1800,1
21,116,3,77A,11,2,18/04/2022,8:44,9:14,11,2,1123,481,196,1800,1
21,117,4,76A,32,11,18/04/2022,8:45,9:15,32,32,1787,0,13,1800,1
21,118,5,73A,0,5,18/04/2022,8:46,9:16,5,NA,685,130,985,1800,1
21,119,6,78A,1,0,18/04/2022,8:47,9:17,1,0,NA,NA,NA,#VALUE!,0
22,120,1,80A,0,11,18/04/2022,9:42,10:12,11,11,0,1761,39,1800,1
22,121,2,79A,1,0,18/04/2022,9:44,10:14,0,NA,932,395,473,1800,1
22,122,3,84A,5,32,18/04/2022,9:45,10:15,32,32,0,1586,214,1800,1
22,123,4,82A,11,2,18/04/2022,9:46,10:16,11,11,1799,0,1,1800,1
22,124,5,83A,2,5,18/04/2022,9:47,10:17,2,5,25,1548,227,1800,1
22,125,6,81A,2,1,18/04/2022,9:48,10:18,1,1,0,1278,522,1800,1
23,126,1,85A,1,32,18/04/2022,10:53,11:23,1,32,517,956,327,1800,1
23,127,2,87A,2,0,18/04/2022,10:53,11:23,0,2,997,71,732,1800,1
23,128,3,90A,0,32,18/04/2022,10:54,11:24,0,32,232,1555,13,1800,1
23,129,4,86A,5,0,18/04/2022,10:55,11:25,5,0,855,297,648,1800,1
23,130,5,89A,2,11,18/04/2022,10:55,11:25,2,2,981,142,677,1800,1
23,131,6,88A,32,2,18/04/2022,10:56,11:26,2,2,0,1656,144,1800,1
24,132,1,91A,32,11,18/04/2022,11:43,12:13,32,32,1757,0,43,1800,1
24,133,2,95A,1,11,18/04/2022,11:43,12:13,1,1,823,0,977,1800,1
24,134,3,92A,2,1,18/04/2022,11:44,12:14,2,NA,362,626,812,1800,1
24,135,4,93A,5,32,18/04/2022,11:45,12:15,5,5,1665,0,135,1800,1
24,136,5,94A,1,0,18/04/2022,11:46,12:16,1,NA,879,386,535,1800,1
24,137,6,96A,0,11,18/04/2022,11:46,12:16,0,0,736,572,492,1800,1
25,138,1,102A,5,1,18/04/2022,14:44,15:14,1,1,372,142,1286,1800,1
25,139,2,97A,0,32,18/04/2022,14:44,15:14,32,32,0,1019,781,1800,1
25,140,3,99A,11,5,18/04/2022,14:45,15:15,11,11,974,585,241,1800,1
25,141,4,98A,0,2,18/04/2022,14:45,15:15,2,NA,0,1234,566,1800,1
25,142,5,101A,32,1,18/04/2022,14:46,15:16,32,32,1743,0,57,1800,1
25,143,6,100A,2,5,18/04/2022,14:46,15:16,2,2,1681,0,119,1800,1
26,144,1,108A,2,5,18/04/2022,15:35,16:05,NA,NA,NA,NA,NA,#VALUE!,0
26,145,2,104A,11,5,18/04/2022,15:36,16:06,11,11,1490,0,310,1800,1
26,146,3,106A,2,32,18/04/2022,15:36,16:06,32,32,0,1542,258,1800,1
26,147,4,105A,11,0,18/04/2022,15:37,16:07,0,NA,450,908,442,1800,1
26,148,5,107A,5,32,18/04/2022,15:38,16:08,5,32,1095,503,202,1800,1
26,149,6,103A,11,1,18/04/2022,15:39,16:09,11,11,1077,101,622,1800,1
27,150,1,78B,0,5,19/04/2022,7:53,8:23,5,5,0,1272,528,1800,1
27,151,2,74B,32,11,19/04/2022,7:53,8:23,32,32,1423,0,377,1800,1
27,152,3,76B,5,11,19/04/2022,7:54,8:24,5,11,NA,NA,NA,#VALUE!,0
27,153,4,73B,5,1,19/04/2022,7:54,8:24,5,NA,338,347,1115,1800,1
27,154,5,75B,1,11,19/04/2022,7:55,8:25,11,11,NA,NA,NA,#VALUE!,0
27,155,6,77B,32,2,19/04/2022,7:56,8:26,2,32,NA,NA,NA,#VALUE!,0
28,156,1,80B,32,1,19/04/2022,8:46,9:16,1,32,339,1045,416,1800,1
28,157,2,83B,0,2,19/04/2022,8:47,9:17,0,2,737,608,455,1800,1
28,158,3,79B,32,0,19/04/2022,8:48,9:18,32,32,1741,0,59,1800,1
28,159,4,81B,5,11,19/04/2022,8:48,9:18,NA,NA,NA,NA,NA,#VALUE!,0
28,160,5,84B,5,2,19/04/2022,8:49,9:19,5,5,,,,0,1
28,161,6,82B,2,1,19/04/2022,8:50,9:20,1,NA,,,,0,1
29,162,1,90B,32,11,19/04/2022,9:44,10:14,11,32,,,,0,1
29,163,2,88B,1,11,19/04/2022,9:45,10:15,11,11,,,,0,1
29,164,3,86B,5,0,19/04/2022,9:46,10:16,5,0,,,,0,1
29,165,4,89B,1,32,19/04/2022,9:47,10:17,32,NA,,,,0,1
29,166,5,87B,2,32,19/04/2022,9:48,10:18,32,2,,,,0,1
29,167,6,85B,5,1,19/04/2022,9:48,10:18,5,1,,,,0,1
30,168,1,92B,0,11,19/04/2022,10:35,11:05,11,11,,,,0,1
30,169,2,94B,1,0,19/04/2022,10:36,11:06,1,0,,,,0,1
30,170,3,91B,5,32,19/04/2022,10:36,11:06,32,32,,,,0,1
30,171,4,96B,11,2,19/04/2022,10:37,11:07,2,11,,,,0,1
30,172,5,95B,0,32,19/04/2022,10:38,11:08,32,32,,,,0,1
30,173,6,93B,2,0,19/04/2022,10:39,11:09,0,0,,,,0,1
31,174,1,98B,2,5,19/04/2022,12:00,12:30,5,5,,,,0,1
31,175,2,97B,5,11,19/04/2022,12:00,12:30,5,5,,,,0,1
31,176,3,103B,5,11,19/04/2022,12:01,12:31,5,NA,,,,0,1
31,177,4,101B,32,2,19/04/2022,12:02,12:32,2,32,,,,0,1
31,178,5,100B,1,11,19/04/2022,12:03,12:33,11,11,,,,0,1
31,179,6,99B,1,0,19/04/2022,12:04,12:34,1,1,,,,0,1
