round,trial,lobster,final.choice,side,density,tank,days in captive use
24,133,95,1,density.A,1,2a,56
24,133,95,0,density.B,11,2b,56
24,135,93,1,density.A,5,4a,56
24,135,93,0,density.B,32,4b,56
24,137,96,1,density.A,0,6a,56
24,137,96,0,density.B,11,6b,56
25,138,102,0,density.A,5,1a,56
25,138,102,1,density.B,1,1b,56
25,139,97,0,density.A,0,2a,56
25,139,97,1,density.B,32,2b,56
25,140,99,1,density.A,11,3a,56
25,140,99,0,density.B,5,3b,56
25,142,101,1,density.A,32,5a,56
25,142,101,0,density.B,1,5b,56
25,143,100,1,density.A,2,6a,56
25,143,100,0,density.B,5,6b,56
26,145,104,1,density.A,11,2a,56
26,145,104,0,density.B,5,2b,56
26,146,106,0,density.A,2,3a,56
26,146,106,1,density.B,32,3b,56
26,148,107,0,density.A,5,5a,56
26,148,107,1,density.B,32,5b,56
26,149,103,1,density.A,11,6a,56
26,149,103,0,density.B,1,6b,56
27,150,78,0,density.A,0,1a,57
27,150,78,1,density.B,5,1b,57
27,151,74,1,density.A,32,2a,57
27,151,74,0,density.B,11,2b,57
28,156,80,1,density.A,32,1a,57
28,156,80,0,density.B,1,1b,57
28,157,83,0,density.A,0,2a,57
28,157,83,1,density.B,2,2b,57
28,158,79,1,density.A,32,3a,57
28,158,79,0,density.B,0,3b,57
28,160,84,1,density.A,5,5a,57
28,160,84,0,density.B,2,5b,57
29,162,90,1,density.A,32,1a,57
29,162,90,0,density.B,11,1b,57
29,163,88,0,density.A,1,2a,57
29,163,88,1,density.B,11,2b,57
29,164,86,0,density.A,5,3a,57
29,164,86,1,density.B,0,3b,57
29,166,87,1,density.A,2,5a,57
29,166,87,0,density.B,32,5b,57
29,167,85,0,density.A,5,6a,57
29,167,85,1,density.B,1,6b,57
30,168,92,0,density.A,0,1a,57
30,168,92,1,density.B,11,1b,57
30,169,94,0,density.A,1,2a,57
30,169,94,1,density.B,0,2b,57
30,170,91,0,density.A,5,3a,57
30,170,91,1,density.B,32,3b,57
30,171,96,1,density.A,11,4a,57
30,171,96,0,density.B,2,4b,57
30,172,95,0,density.A,0,5a,57
30,172,95,1,density.B,32,5b,57
30,173,93,0,density.A,2,6a,57
30,173,93,1,density.B,0,6b,57
31,174,98,0,density.A,2,1a,57
31,174,98,1,density.B,5,1b,57
31,175,97,1,density.A,5,2a,57
31,175,97,0,density.B,11,2b,57
31,177,101,1,density.A,32,4a,57
31,177,101,0,density.B,2,4b,57
31,178,100,0,density.A,1,5a,57
31,178,100,1,density.B,11,5b,57
31,179,99,1,density.A,1,6a,57
31,179,99,0,density.B,0,6b,57
